date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:40	858819/858819	---M-Z	200	added ('OK')	text/html	etag:%22d1ac3-610131533a9de-gzip%22	https://themesdesign.in/tailwick/html/dashboards-analytics.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/dashboards-analytics.html	(from )
11:02:41	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Apr%202024%2005:32:46%20GMT	https://themesdesign.in/robots.txt		(from )
11:02:41	24078/24078	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e0e-60e916b40f0e5%22	https://themesdesign.in/tailwick/html/assets/images/favicon.ico	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/assets/images/favicon.ico	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:41	1834/1834	---M-Z	200	added ('OK')	application/javascript	etag:%2272a-610131532bf78-gzip%22	https://themesdesign.in/tailwick/html/assets/js/layout.js	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/assets/js/layout.js	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:42	707364/707364	---MCZ	200	added ('OK')	text/css	etag:%22acb24-610131532bf78-gzip%22	https://themesdesign.in/tailwick/html/assets/css/tailwind2.css	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/assets/css/tailwind2.css	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:42	887135/887135	---M-Z	200	added ('OK')	text/html	etag:%22d895f-6101315347503-gzip%22	https://themesdesign.in/tailwick/html/index.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/index.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:42	31182/31182	---M--	200	added ('OK')	image/png	etag:%2279ce-60e916b417d89%22	https://themesdesign.in/tailwick/html/assets/images/logo-dark.png	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/assets/images/logo-dark.png	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:42	31397/31397	---M--	200	added ('OK')	image/png	etag:%227aa5-60e916b417d89%22	https://themesdesign.in/tailwick/html/assets/images/logo-light.png	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/assets/images/logo-light.png	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:43	836186/836186	---M-Z	200	added ('OK')	text/html	etag:%22cc25a-610131533b97e-gzip%22	https://themesdesign.in/tailwick/html/dashboards-email.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/dashboards-email.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:43	874117/874117	---M-Z	200	added ('OK')	text/html	etag:%22d5685-610131533b97e-gzip%22	https://themesdesign.in/tailwick/html/dashboards-hr.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/dashboards-hr.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:43	899036/899036	---MCZ	200	added ('OK')	text/html	etag:%22db7dc-610131533c91f-gzip%22	https://themesdesign.in/tailwick/html/dashboards-social-media.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/dashboards-social-media.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:43	59609/59609	---M-Z	200	added ('OK')	text/html	etag:%22e8d9-610131534b384-gzip%22	https://themesdesign.in/tailwick/html/onepage-landing.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/onepage-landing.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:44	36836/36836	---M-Z	200	added ('OK')	text/html	etag:%228fe4-6101315351147-gzip%22	https://themesdesign.in/tailwick/html/product-landing.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/product-landing.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:44	964680/964680	---MCZ	200	added ('OK')	text/html	etag:%22eb848-6101315317750-gzip%22	https://themesdesign.in/tailwick/html/apps-chat.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-chat.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:44	828172/828172	---M-Z	200	added ('OK')	text/html	etag:%22ca30c-61013153280f6-gzip%22	https://themesdesign.in/tailwick/html/apps-mailbox.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-mailbox.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:44	800334/800334	---M-Z	200	added ('OK')	text/html	etag:%22c364e-6101315317750-gzip%22	https://themesdesign.in/tailwick/html/apps-calendar.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-calendar.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:45	792371/792371	---M-Z	200	added ('OK')	text/html	etag:%22c1733-61013153167af-gzip%22	https://themesdesign.in/tailwick/html/apps-calendar-month-grid.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-calendar-month-grid.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:45	792194/792194	---M-Z	200	added ('OK')	text/html	etag:%22c1682-61013153167af-gzip%22	https://themesdesign.in/tailwick/html/apps-calendar-multi-month-stack.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-calendar-multi-month-stack.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:45	806038/806038	---M-Z	200	added ('OK')	text/html	etag:%22c4c96-610131531c572-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-product-list.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-product-list.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:45	889307/889307	---M-Z	200	added ('OK')	text/html	etag:%22d91db-610131531b5d1-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-product-grid.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-product-grid.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:46	861708/861708	---MCZ	200	added ('OK')	text/html	etag:%22d260c-610131531d512-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-product-overview.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-product-overview.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:46	830382/830382	---M-Z	200	added ('OK')	text/html	etag:%22cabae-610131531b5d1-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-product-create.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-product-create.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:46	812489/812489	---M-Z	200	added ('OK')	text/html	etag:%22c65c9-61013153186f0-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-cart.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-cart.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:46	842506/842506	---M-Z	200	added ('OK')	text/html	etag:%22cdb0a-6101315319691-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-checkout.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-checkout.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:47	872936/872936	---M-Z	200	added ('OK')	text/html	etag:%22d51e8-610131531a631-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-orders.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-orders.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:47	811306/811306	---M-Z	200	added ('OK')	text/html	etag:%22c612a-610131531a631-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-order-overview.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-order-overview.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:47	869690/869690	---MCZ	200	added ('OK')	text/html	etag:%22d453a-610131531d512-gzip%22	https://themesdesign.in/tailwick/html/apps-ecommerce-sellers.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-ecommerce-sellers.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:47	816052/816052	---M-Z	200	added ('OK')	text/html	etag:%22c73b4-61013153203f3-gzip%22	https://themesdesign.in/tailwick/html/apps-hr-employee.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-hr-employee.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:47	821382/821382	---M-Z	200	added ('OK')	text/html	etag:%22c8886-6101315321394-gzip%22	https://themesdesign.in/tailwick/html/apps-hr-holidays.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-hr-holidays.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:48	820683/820683	---M-Z	200	added ('OK')	text/html	etag:%22c85cb-6101315321394-gzip%22	https://themesdesign.in/tailwick/html/apps-hr-leave-employee.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-hr-leave-employee.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
11:02:48	797380/797380	---M-Z	200	added ('OK')	text/html	etag:%22c2ac4-610131531f453-gzip%22	https://themesdesign.in/tailwick/html/apps-hr-create-leave-employee.html	C:/Users/user/Downloads/Pentagon%20Dashboard/themesdesign.in/tailwick/html/apps-hr-create-leave-employee.html	(from https://themesdesign.in/tailwick/html/dashboards-analytics.html)
